23:18:40 [extension:sw] TIMEEND  [ExtensionStore]: Overwriting local store: 66.6630859375 ms
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:44 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
23:18:45 [extension:page:home.html] ERROR  Failed to load resource: the server responded with a status of 404 ()
