17:30:22 [extension:page:home.html] INFO  Slow network is detected. See https://www.chromestatus.com/feature/5636954674692096 for more details. Fallback font will be used while loading: chrome-extension://hebhblbkkdabgoldnojllkipeoacjioc/assets/Inter-SemiBold.348ecf02dd29abbddce1.woff2
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:page:home.html] WARNING  An input selector returned a different result when passed same arguments.
This means your output selector will likely run more frequently than intended.
Avoid returning a new reference inside your input selector, e.g.
`createSelector([state => state.todos.map(todo => todo.id)], todoIds => todoIds.length)` Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:page:home.html] WARNING  An input selector returned a different result when passed same arguments.
This means your output selector will likely run more frequently than intended.
Avoid returning a new reference inside your input selector, e.g.
`createSelector([state => state.todos.map(todo => todo.id)], todoIds => todoIds.length)` Object
17:30:22 [extension:page:home.html] WARNING  The result function returned its own inputs without modification. e.g
`createSelector([state => state.todos], todos => todos)`
This could lead to inefficient memoization and unnecessary re-renders.
Ensure transformation logic is in the result function, and extraction logic is in the input selectors. Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] WARNING  Snap "npm:@metamask/solana-wallet-snap" has de-synced accounts, Snap has more accounts than MetaMask! (8 < 9)
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] ERROR  A query that was dehydrated as pending ended up rejecting. [["AuthenticatedUserStorageService:getNotificationPreferences"]]: Error: getBearerToken - unable to proceed, wallet is locked; The error will be redacted in production builds
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/bitcoin-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/stellar-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/tron-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
17:30:22 [extension:sw] INFO  RPC (npm:@metamask/solana-wallet-snap): Object -> Object
